,adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID
80,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-06-29,2003-07-05,2003,143,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
81,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-07-06,2003-07-12,2003,126,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
82,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-07-13,2003-07-19,2003,76,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
83,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-07-20,2003-07-26,2003,74,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
84,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-07-27,2003-08-02,2003,59,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
85,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-08-03,2003-08-09,2003,61,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
86,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-08-10,2003-08-16,2003,60,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
87,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-08-17,2003-08-23,2003,81,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
88,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-08-24,2003-08-30,2003,91,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
89,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-08-31,2003-09-06,2003,49,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
90,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-09-07,2003-09-13,2003,77,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
91,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-09-14,2003-09-20,2003,60,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
92,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-09-21,2003-09-27,2003,76,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
93,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-09-28,2003-10-04,2003,65,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
